,lengths,angles,points,throws
0,0.0,0.0,14.451330108827086,22.053333333333335
1,61.98304674924393,121.56756813354657,12.706284153005464,24.4
2,60.88680705256758,74.05147193941573,6.876891130228419,44.946666666666665
3,82.0858048269568,17.408384959455766,23.196881091617932,13.68
4,49.472088052779654,331.26940835012556,12.243357011312812,25.34
5,7.141186784942666,354.75282021312233,14.662473151273396,21.726666666666667
6,72.26341300952328,284.2129702787224,13.792123186259994,22.513333333333332
7,60.89321195107311,154.5726869281135,4.6659678546471,66.78
8,21.74274576452978,351.7781903306365,13.378424657534246,23.36
9,0.7417926815743825,280.93374411834884,19.205065359477125,16.32
10,26.021737226135798,332.3950491673583,15.367192636423406,20.28
11,57.76673954836342,144.40632872282112,17.570145903479236,17.82
12,47.68296806934028,275.331464513891,11.238795180722892,27.666666666666668
13,12.32646102877405,164.18403598700044,11.21496437054632,28.066666666666666
14,21.25727658901099,38.158141945383065,8.422479928635147,37.36666666666667
15,77.51866604535927,41.04708950096384,2.8531862745098038,108.8
16,52.10303501569686,203.12040117069478,5.973751930005147,51.81333333333333
17,99.94421520845277,254.50017569760305,19.522101751459548,15.986666666666666
18,31.0809627816353,154.55092208061365,8.062724935732648,38.9
19,90.66537190288791,175.69439848194406,20.19104991394148,15.493333333333334
20,51.08638856136343,3.8160959540996053,7.946214457005824,38.92
21,55.47322555669193,288.29191911409356,13.753024491000295,22.593333333333334
22,87.42962820948954,149.51657155558408,17.633545013074336,17.846666666666668
23,27.490569243895322,5.763123229731804,11.2056230640934,27.98
24,75.66238690822983,18.208756260859715,23.052580331061343,13.693333333333333
25,5.1952118414605675,33.54135837923928,11.573679108095007,27.506666666666668
26,83.70121784708297,259.1145905158365,19.021181262729126,16.366666666666667
27,59.402812223927945,284.5974876938402,13.919113241461954,22.253333333333334
28,59.119968817132275,349.1740719382129,15.007516339869282,20.4
29,36.19778752646076,269.5084293817194,11.857941550190597,26.233333333333334
30,46.89260478444937,201.32326388544473,6.24482109227872,49.56
31,83.9177647016057,292.34452893349174,13.504350348027842,22.986666666666668
32,6.128543656298968,268.7061998688512,17.01374321880651,18.433333333333334
33,13.305833573680681,62.66502428123096,18.92252396166134,16.69333333333333
34,96.72107190199367,120.61406589063814,12.058443237651927,25.78
35,58.972283453172544,312.8350232900011,16.919607129865405,18.326666666666668
36,98.17939762080414,128.41094736689098,12.048441123421798,25.873333333333335
37,86.08943112956072,73.52319048234891,5.805625630676085,52.85333333333333
38,5.329981266342443,219.53230114252034,24.776253298153033,12.633333333333333
39,29.589431752360095,179.12111927625534,20.7485536270583,14.98
40,31.539442331772648,329.3620168241893,13.970728793309439,22.32
41,73.26619640717368,257.7137662037754,19.00364815565464,16.446666666666665
42,71.39583110278541,153.91639901697508,5.113848861511385,60.60666666666667
43,85.65162017174409,217.43091346212103,22.51058710298364,13.853333333333333
44,82.77232165239657,270.2830247155054,10.298573975044564,29.92
45,66.72942468970916,359.05134107525083,7.422738190552442,41.63333333333333
46,21.203157831857023,351.74023282235055,13.241281542387298,23.513333333333332
47,90.61708023895115,264.63908042657675,10.03953337653921,30.86
48,39.59639544357357,83.70078546402128,16.246717346233588,19.293333333333333
49,69.24664525599876,148.9701497064034,18.107019562715767,17.38
50,99.17027866908639,264.1978159636195,9.906986712387484,31.106666666666666
51,21.717830722859908,32.030849085530086,8.57614444647091,36.553333333333335
